time ECI_x ECI_y ECI_z ECI_sun_x ECI_sun_y ECI_sun_z
1625426000 -905.081714 80.034208 -6858.931369 -34295844.715244 135953593.187269 58937754.364992
1625676000 900.349734 -2090.321483 6546.828617 -41387292.886790 134279448.981863 58212004.726149
1625926000 -1001.966835 3977.253793 -5584.126100 -48381179.571431 132288771.351428 57349033.029217
1626176000 1176.991004 -5430.576526 4126.929539 -55260999.194045 129986201.482079 56350851.189110
1626426000 -1364.729804 6432.897343 -2221.210853 -62010494.384375 127377081.526447 55219775.002015
1626676000 1479.984503 -6754.052510 106.543073 -68613688.900407 124467444.695512 53958419.850438
1626926000 -1466.025346 6476.420558 2027.003057 -75054920.233952 121264004.257208 52569695.934326
1627176000 1219.903533 -5504.581434 -4010.746302 -81318871.867709 117774141.438692 51056803.026885
1627426000 -767.596991 4098.251281 5534.702041 -87390605.153053 114005892.230302 49423224.754271
1627676000 21.665106 -2223.834035 -6566.585866 -93255590.803530 109967933.071533 47672722.390596
1627926000 864.589909 296.230840 6851.134686 -98899739.959035 105669565.416519 45809328.167185
1628176000 -1913.646038 1671.319214 -6465.066231 -104309434.801285 101120699.159243 43837338.087479
1628426000 2903.307195 -3315.500222 5316.923601 -109471558.670712 96331834.916201 41761304.246635
1628676000 -3759.912557 4552.138113 -3660.463305 -114373525.662924 91314045.139890 39586026.644238
1628926000 4284.003011 -5229.978658 1466.013281 -119003309.652456 86078954.054457 37316544.486406
1629176000 -4398.086816 5302.744349 756.616016 -123349472.689728 80638716.408261 34958126.974976
1629426000 3962.188253 -4792.756710 -3075.204209 -127401192.733038 75005995.016193 32516263.572032
1629676000 -3039.248674 3816.292237 4893.646128 -131148290.650805 69193937.086485 29996653.737461
1629926000 1611.598401 -2502.411745 -6278.904263 -134581256.426985 63216149.331956 27405196.139536
1630176000 141.235085 1037.251283 6823.760289 -137691274.515915 57086671.840490 24747977.327585
1630426000 -2004.622102 345.873022 -6638.751950 -140470248.264858 50819950.715138 22031259.871250
1630676000 3827.184369 -1571.637479 5544.475987 -142910823.335080 44430809.471326 19261469.960922
1630926000 -5223.288260 2390.944665 -3870.429750 -145006410.033929 37934419.210215 16445184.477587
1631176000 6119.197969 -2868.637164 1573.624208 -146751204.482115 31346267.556394 13589117.526982
1631426000 -6221.648211 2896.631629 824.626849 -148140208.522223 24682126.381490 10700106.447395
1631676000 5572.996269 -2620.644396 -3213.013036 -149169248.275014 17958018.341512 7785097.303179
1631926000 -4106.667792 2084.559337 5153.667434 -149834991.252938 11190182.233412 4851129.866359
1632176000 2119.276139 -1474.437096 -6436.381000 -150134961.928615 4395037.211556 1905322.103967
1632426000 318.000735 858.845036 6863.592727 -150067555.657946 -2410854.087488 -1045145.807919
1632676000 -2678.457932 -386.789511 -6368.738803 -149632050.857304 -9210823.486088 -3993047.932241
1632926000 4820.889591 65.074007 4987.936396 -148828619.329873 -15988136.200769 -6931129.450020
1633176000 -6277.603025 82.953401 -2903.631876 -147658334.637435 -22726030.720934 -9852123.948457
1633426000 6922.396374 -118.226776 418.760054 -146123178.416672 -29407759.541309 -12748771.079156
1633676000 -6570.831766 129.646423 2185.529820 -144226044.536367 -36016630.687162 -15613834.560073
1633926000 5314.433685 -195.970665 -4432.977268 -141970740.996657 -42536049.930474 -18440120.477016
