time ECI_x ECI_y ECI_z ECI_sun_x ECI_sun_y ECI_sun_z
1656942000 -1100.708664 -4312.189524 -5326.458340 -33126150.365622 136196662.282207 59044849.168703
1656942100 -1103.620662 -3699.664247 -5769.526454 -33129009.435276 136196077.488840 59044595.650075
1656942200 -1093.441170 -3043.250513 -6143.966885 -33131868.493564 136195492.643866 59044342.109075
1656942300 -1070.304131 -2350.772289 -6445.399315 -33134727.538207 136194907.747752 59044088.545904
1656942400 -1034.494283 -1630.458536 -6670.305618 -33137586.571499 136194322.800027 59043834.960358
1656942500 -986.443336 -890.851023 -6816.064598 -33140445.591141 136193737.801163 59043581.352642
1656942600 -926.724513 -140.705498 -6880.978923 -33143304.599431 136193152.750689 59043327.722551
1656942700 -856.046010 611.103848 -6864.291514 -33146163.594070 136192567.649076 59043074.070291
1656942800 -775.242810 1355.685398 -6766.193287 -33149022.577355 136191982.495853 59042820.395656
1656942900 -685.267695 2084.226428 -6587.821486 -33151881.546987 136191397.291492 59042566.698851
1656943000 -587.180593 2788.093710 -6331.248356 -33154740.505262 136190812.035521 59042312.979673
1656943100 -482.137342 3458.928276 -5999.461341 -33157599.449881 136190226.728413 59042059.238324
1656943200 -371.376781 4088.742922 -5596.332448 -33160458.383142 136189641.369696 59041805.474602
1656943300 -256.207463 4670.012698 -5126.579922 -33163317.302745 136189055.959841 59041551.688710
1656943400 -137.992744 5195.766001 -4595.717959 -33166176.211005 136188470.498374 59041297.880443
1656943500 -18.135735 5659.667228 -4009.999605 -33169035.105588 136187884.985773 59041044.050008
1656943600 101.937212 6056.097258 -3376.347002 -33171893.988807 136187299.421565 59040790.197200
1656943700 220.792827 6380.223828 -2702.276086 -33174752.858364 136186713.806219 59040536.322222
1656943800 337.008406 6628.066471 -1995.808793 -33177611.716556 136186128.139267 59040282.424872
1656943900 449.188696 6796.549709 -1265.381645 -33180470.561067 136185542.421182 59040028.505353
1656944000 555.983470 6883.547455 -519.743126 -33183329.394227 136184956.651486 59039774.563461
1656944100 656.104034 6887.914429 232.149874 -33186188.213722 136184370.830654 59039520.599399
1656944200 748.339807 6809.505933 981.244099 -33189047.020717 136183784.958447 59039266.613065
1656944300 831.573577 6649.183922 1718.501397 -33191905.816322 136183199.034638 59039012.604360
1656944400 904.795683 6408.810251 2435.010889 -33194764.598258 136182613.059694 59038758.573487
1656944500 967.117137 6091.225565 3122.102936 -33197623.368821 136182027.033144 59038504.520241
1656944600 1017.780710 5700.216321 3771.455855 -33200482.125732 136181440.955455 59038250.444824
1656944700 1056.170697 5240.467396 4375.202502 -33203340.871248 136180854.826164 59037996.347038
1656944800 1081.820434 4717.505174 4926.026407 -33206199.603091 136180268.645739 59037742.227083
1656944900 1094.418130 4137.627144 5417.254366 -33209058.323557 136179682.413709 59037488.084756
1656945000 1093.810481 3507.825055 5842.936630 -33211917.030329 136179096.130549 59037233.920262
1656945100 1080.004379 2835.696247 6197.920780 -33214775.725740 136178509.795781 59036979.733395
1656945200 1053.166581 2129.351864 6477.912308 -33217634.407472 136177923.409880 59036725.524360
1656945300 1013.621396 1397.315244 6679.526823 -33220493.077823 136177336.972374 59036471.292954
1656945400 961.846616 648.420329 6800.328993 -33223351.734513 136176750.483731 59036217.039378
1656945500 898.467449 -108.297678 6838.861596 -33226210.379801 136176163.943488 59035962.763432
1656945600 824.249034 -863.708916 6794.661974 -33229069.011405 136175577.352114 59035708.465319
